Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Button ID (Image Order),Product,Image,Image Description
Mock Pitch Screen,mock-pitch-screen,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8da44346b5d5fad108bb8,false,false,Wed Mar 06 2024 21:04:04 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:52:43 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:52:53 GMT+0000 (Coordinated Universal Time),08-mock-pitch-screen,verbaly-web-app,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8da3dcccceb8e6c402185_mockpitch.webp,"This shows the Mock Investor Pitch experience on the Practice page. Here, users can record themselves partaking in mock investor pitches with Vee, their AI speech coach. After conversing with Vee, they can submit the recording to the speech analysis engine and receive feedback."
Mock Small Talk Screen,mock-small-talk-screen,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,65e8da5ea5e05691ff07f878,false,false,Wed Mar 06 2024 21:04:30 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:51:27 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 07:52:53 GMT+0000 (Coordinated Universal Time),06-mock-small-talk-screen,verbaly-web-app,https://uploads-ssl.webflow.com/65750a3e8e33e5e91390f022/65e8da5b74ca1aca4e72175e_mocksmalltalk.webp,"This shows the Mock Small Talk experience on the Practice page. Here, users can record themselves partaking in small-talk-type conversations with Vee, their AI speech coach. After conversing with Vee, they can submit the recording to the speech analysis engine and receive feedback similar to that of the Practice Speech module shown previously."
NewsNook Desktop AI Assistant,newsnook-desktop-ai-assistant,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f1b22fec3a759cdce0c6,false,false,Tue Oct 08 2024 08:47:46 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:51:46 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),03-newsnook-desktop-ai-assistant,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f1a035438a0a0468e816_newsnookappscreenshots%20(8).webp,
NewsNook Desktop Audio,newsnook-desktop-audio,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f2e317ec70d44236d710,false,false,Tue Oct 08 2024 08:52:51 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:04 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),04-newsnook-desktop-audio,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f2cc95b1dc6de107a5fc_newsnookappscreenshots%20(9).webp,
NewsNook Desktop Inbox,newsnook-desktop-inbox,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f075200ecbefe81c1b4b,false,false,Tue Oct 08 2024 08:42:29 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:51:03 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),01-newsnook-desktop-inbox,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f041bb15d4d8aeb1c6b0_newsnookappscreenshots%20(5).webp,"This is the desktop view of the NewsNook web app's inbox screen. Here, users can see a list of recently received daily newsletters. "
NewsNook Desktop Notes,newsnook-desktop-notes,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f3255565d075cd3383b5,false,false,Tue Oct 08 2024 08:53:57 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:53:57 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),06-newsnook-desktop-notes,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f3113a197dff1d5acb66_newsnookappscreenshots%20(10).webp,
NewsNook Desktop Reader,newsnook-desktop-reader,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f0f7b3af2404172adad0,false,false,Tue Oct 08 2024 08:44:39 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:51:36 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),02-newsnook-desktop-reader,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f0d0516cf576dd2b29c6_newsnookappscreenshots%20(7).webp,
NewsNook Desktop Search,newsnook-desktop-search,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,6704f0b81946b9303f9cdb23,false,false,Tue Oct 08 2024 08:43:36 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:10 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),05-newsnook-desktop-search,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/6704f097357561adcfd572bb_newsnookappscreenshots%20(6).webp,
NewsNook Mobile Onboarding Flow,newsnook-mobile-onboarding-flow,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,669434b7aad086503ae2227a,false,false,Sun Jul 14 2024 20:27:35 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:40 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),07-newsnook-mobile-onboarding-flow,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/66943aa02a26757d5841092b_frame11.webp,"These 3 screenshots show the primary screens that users would frequently interact with. First, the login screen. Second is their inbox screen, where users can see their recently received newsletters—finally, the reading screen, where users get to read a newsletter."
NewsNook Mobile Reading Screens,newsnook-mobile-reading-screens,65e82b73ee872b2ac219fd1b,65e03563f7b047d56a20dc7b,66943b7aaad086503ae5ad4f,false,false,Sun Jul 14 2024 20:56:26 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:46 GMT+0000 (Coordinated Universal Time),Tue Oct 08 2024 08:55:54 GMT+0000 (Coordinated Universal Time),08-newsnook-mobile-reading-screens,newsnook,https://cdn.prod.website-files.com/65750a3e8e33e5e91390f022/66ac29e4a7e8bbc92472a8e0_frame10%20(3).webp,The screen is where users spend most of their time reading or listening to news from their favorite newsletters.
